coreid,catalogNumber,identifier
3dc63fe2-4a7b-49e6-a8b0-6e87abbd8437,4409094,https://api.naturemapr.org/api/sightings/4409094/images/1
c7100c2f-7667-4dff-b59d-562ba0f66ea3,4409000,https://api.naturemapr.org/api/sightings/4409000/images/1
fce2cf20-99ec-4890-b63b-38cba506acc9,4408999,https://api.naturemapr.org/api/sightings/4408999/images/1
cc8a122a-b237-403f-bf36-63e577b83e64,4408998,https://api.naturemapr.org/api/sightings/4408998/images/1
d79dc1c8-7a51-44f4-af5a-9a171f8043f9,4408997,https://api.naturemapr.org/api/sightings/4408997/images/1
07120fd4-4d53-4b3d-8f8b-412261e2b78a,4409090,https://api.naturemapr.org/api/sightings/4409090/images/1
03847843-0271-4857-9aa4-2aa596d6d664,4409411,https://api.naturemapr.org/api/sightings/4409411/images/2
b6163323-8c29-415e-8cf7-bf90a5b1405b,4409410,https://api.naturemapr.org/api/sightings/4409410/images/2
87d420a2-a243-4e85-9ff5-d97776272e03,4409409,https://api.naturemapr.org/api/sightings/4409409/images/2
3dbad108-365f-436d-8709-0a2d0e3a73ed,4409405,https://api.naturemapr.org/api/sightings/4409405/images/2
08586b2b-9ca9-46f4-a380-693023688619,4409446,https://api.naturemapr.org/api/sightings/4409446/images/2
28dd3181-5771-4888-b7a4-a83103d99506,4409440,https://api.naturemapr.org/api/sightings/4409440/images/2
11e9b42b-3c6c-49a6-aa63-d5889f06b357,4409205,https://api.naturemapr.org/api/sightings/4409205/images/2
7b7555fd-6183-4e37-9ae6-360e9acc3a08,4409206,https://api.naturemapr.org/api/sightings/4409206/images/2
a8971b56-18f4-4254-8957-aa839d72e962,4409260,https://api.naturemapr.org/api/sightings/4409260/images/2
f973ef83-c944-4742-80ef-931001b55aea,4409162,https://api.naturemapr.org/api/sightings/4409162/images/2
0fdb190c-06d7-462e-8b15-00eab4a7cb38,4409187,https://api.naturemapr.org/api/sightings/4409187/images/2
83cd0a21-c1a7-4856-8240-c254a243c4aa,4409185,https://api.naturemapr.org/api/sightings/4409185/images/2
a32f04f5-507a-43d5-a9e5-fce43488abc6,4409259,https://api.naturemapr.org/api/sightings/4409259/images/2
c8e2c527-59c1-452c-962f-9170982a4436,4409256,https://api.naturemapr.org/api/sightings/4409256/images/2
bd1a9d7e-b26f-4517-8ea8-a328fc2edfbc,4409255,https://api.naturemapr.org/api/sightings/4409255/images/2
f97a3983-d03b-4b9f-b12b-eb3eb5f2be96,4409171,https://api.naturemapr.org/api/sightings/4409171/images/2
3a52e375-87c3-4fc5-a538-04c4de6fef3f,4409168,https://api.naturemapr.org/api/sightings/4409168/images/2
77baec9e-f40a-4ef3-85cc-72b88e7943b6,4409156,https://api.naturemapr.org/api/sightings/4409156/images/2
da7a4f49-f3ba-434e-b5ac-a45372c01201,4409210,https://api.naturemapr.org/api/sightings/4409210/images/2
27b6138c-0629-4307-99a2-5be0d3b99e32,4409226,https://api.naturemapr.org/api/sightings/4409226/images/2
fc70286e-eb0a-43c8-93d4-0a0a54c171a7,4409236,https://api.naturemapr.org/api/sightings/4409236/images/2
6cfe9c0b-4840-4c75-8925-46abac537489,4409229,https://api.naturemapr.org/api/sightings/4409229/images/2
c7dde7b8-1d54-4d5a-845e-36b39b206527,4409211,https://api.naturemapr.org/api/sightings/4409211/images/2
809fd2c5-7bd8-4308-b844-46da0ab5e60e,4409231,https://api.naturemapr.org/api/sightings/4409231/images/2
daed70ac-3ef8-436b-9100-191bffdb45c4,4409232,https://api.naturemapr.org/api/sightings/4409232/images/2
562b9183-11f5-4715-94a8-17f099be75ea,4409157,https://api.naturemapr.org/api/sightings/4409157/images/2
85cde6c3-6df1-4538-b201-7ea6ac4e8943,4409274,https://api.naturemapr.org/api/sightings/4409274/images/2
af071c1a-3c7c-4317-8b40-d337f14e5efb,4409137,https://api.naturemapr.org/api/sightings/4409137/images/2
1eabc90f-db59-47bb-929d-79232dc216e0,4409167,https://api.naturemapr.org/api/sightings/4409167/images/2
